,Index,ID,Country,Gender,Education,Region,Profession,Work_status,Household_members,Income_level,Location_of_residence,Centre_or_suburbs,Public_transport_service,Car_driving_license,Number_vehicles_in_household,Considering_electric_or_hybrid_vehicle_next_purchase,Know_what_car_sharing_is,Would_subscribe_car_sharing_if_available,Most_frequent_trip_Walk,Most_frequent_trip_Bicycle,Most_frequent_trip_Car_as_Driver,Most_frequent_trip_Car_as_Passenger,Most_frequent_trip_Train,Most_frequent_trip_Underground_or_light_train,Most_frequent_trip_Tram,Most_frequent_trip_Bus,Most_frequent_trip_Motorcycle_or_moped,Destination_most_frequent_trip,Frequency_most_frequent_trip,Transfers_between_modes_during_frequent_trip,Frequent_trip_distance,Concern_environmental_impacts,Preference_tolls_or_traffic_limitation,New_frq_trip_dur,Age,Would_subsribe_car_sharing_if_available_new,Education_DNA,Income_level_DNA,Profession_DNA,Age_DNA,Considering_electric_or_hybrid_vehicle_next_purchase_DNA,Concern_environmental_impacts_DNA,Country_DNA,sha_ind,sha_ind_norm
2645,2856,"2,865",Denmark,Female,Upper secondary (high school or similar);,Hovedstaden,other employed worker,Employed,one  (myself),lower middle,Large city (from 250.000 to 1.000.000 inhabitants),in the suburbs,Relatively served by public transport,Yes,2,Probably yes,Yes,"No, I would not be interested in this service",No,No,Yes,No,No,No,No,No,Yes,"Â…In an urban area, different from where I live",Make this trip every day/ every working day of the week,One,3-5 KM,5,No preferences,less than 15 min,51-60,0,0.2069787234042553,0.1964838027022627,0.1921047488762947,0.1924233313289236,0.2870708546384222,0.1648418491484184,0.091792656587473,0.19024228095515,0.3705305939231389
2646,2857,"2,866",Hungary,Male,Upper secondary (high school or similar);,KÃ¶zÃ©p-DunÃ¡ntÃºl,manual worker/agricultural worker/farmer,Employed,three,lower middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Relatively served by public transport,Yes,1,Certainly not,No,"No, I would not be interested in this service",No,Yes,Yes,No,No,No,No,No,No,"Â…In an urban area, different from where I live",Make this trip 2-3 days per week,One,21-30 KM,7,No preferences,15-30 min,21-30,0,0.2069787234042553,0.1964838027022627,0.2166193181818181,0.2346829640947288,0.1095890410958904,0.1982758620689655,0.191578947368421,0.1934583798451917,0.3910883720054965
2660,2872,"2,881",Great Britain,Female,Upper secondary (high school or similar);,Outer London,office worker,Employed,one  (myself),middle,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the suburbs,Well served by public transport,Yes,1,Probably not,Yes,"No, I would not be interested in this service",No,No,No,No,Yes,Yes,No,No,No,"Â…In an urban area, different from where I live",Make this trip every day/ every working day of the week,One,11-20 KM,8,Probably more acceptable to limit road traffic,60-90 min,41-50,0,0.2069787234042553,0.2103583345422892,0.1989212513484358,0.1833333333333333,0.1444071809035312,0.2356572258533043,0.1321776814734561,0.1874048186940864,0.3523931169753291
2666,2878,"2,887",Poland,Female,"Tertiary and higher (University degree, PhD or similar degrees).",Mazowieckie,business owner/entrepreneur,Employed,five,high,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the centre of the city,Well served by public transport,Yes,3,Certainly yes,Yes,Yes I'm already client of a car sharing service,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Two,6-10 KM,7,Definitely more acceptable to pay for less congestion,90-120 min,31-40,2,0.2290959252971137,0.3636363636363636,0.2460474308300395,0.2217081850533807,0.3650434126085315,0.1982758620689655,0.3314855875831485,0.2793275381539348,0.9399766870059962
2667,2879,"2,888",Great Britain,Female,Upper secondary (high school or similar);,Lancashire,office worker,Employed,three,middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Well served by public transport,Yes,1,Certainly yes,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,No,No,Yes,No,No,No,Yes,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Don't know/ No answer,3-5 KM,7,Probably more acceptable to limit road traffic,15-30 min,41-50,1,0.2069787234042553,0.2103583345422892,0.1989212513484358,0.1833333333333333,0.3650434126085315,0.1982758620689655,0.1321776814734561,0.2135840855398953,0.5197348488609363
2670,2882,"2,891",Spain,Male,Upper secondary (high school or similar);,CataluÃ±a,manual worker/agricultural worker/farmer,Employed,four,lower middle,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Well served by public transport,Yes,2,Probably yes,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",No,No,Yes,Yes,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip 2-3 days per week,One,6-10 KM,7,Probably more acceptable to limit road traffic,15-30 min,31-40,1,0.2069787234042553,0.1964838027022627,0.2166193181818181,0.2217081850533807,0.2870708546384222,0.1982758620689655,0.2458158995815899,0.2247075208043849,0.5908374864038644
2674,2886,"2,895",Poland,Female,Upper secondary (high school or similar);,Dolnoslaskie,middle manager,Employed,two,middle,Large city (from 250.000 to 1.000.000 inhabitants),in the centre of the city,Well served by public transport,No,0,Probably yes,Yes,"Yes, instead of purchasing a new car",Yes,No,No,No,Yes,No,Yes,Yes,No,"Â…In an urban area, different from where I live",Make this trip every day/ every working day of the week,Two,11-20 KM,7,Probably more acceptable to pay for less congestion,30-60 min,21-30,2,0.2069787234042553,0.2103583345422892,0.2343283582089552,0.2346829640947288,0.2870708546384222,0.1982758620689655,0.3314855875831485,0.2433115263629664,0.7097570317264599
2687,2900,"2,909",Germany,Female,"Tertiary and higher (University degree, PhD or similar degrees).",Hamburg,office worker,Employed,two,higher middle,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the centre of the city,Well served by public transport,Yes,1,Maybe yes maybe not,Yes,Yes I'm already client of a car sharing service,No,No,Yes,No,No,Yes,No,No,No,"Â…In an urban area, different from where I live",Make this trip every day/ every working day of the week,One,11-20 KM,7,Probably more acceptable to pay for less congestion,30-60 min,31-40,2,0.2290959252971137,0.2489236790606653,0.1989212513484358,0.2217081850533807,0.2027115108851518,0.1982758620689655,0.1866383881230116,0.2123249716909606,0.5116864075748273
2698,2911,"2,920",Poland,Male,"Tertiary and higher (University degree, PhD or similar degrees).",Slaskie,other employed worker,Employed,four,middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Well served by public transport,Yes,2,Maybe yes maybe not,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",No,No,Yes,No,No,No,No,Yes,No,"Â…In an urban area, different from where I live",Make this trip every day/ every working day of the week,One,6-10 KM,4,Definitely more acceptable to limit road traffic,15-30 min,31-40,1,0.2290959252971137,0.2103583345422892,0.1921047488762947,0.2217081850533807,0.2027115108851518,0.1632140615191462,0.3314855875831485,0.221525479108075,0.5704974069230684
2704,2918,"2,927",Belgium,Female,Upper secondary (high school or similar);,RÃ©gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,retired,Not Employed,one  (myself),low,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the centre of the city,Well served by public transport,No,0,Certainly not,Yes,"No, I would not be interested in this service",Yes,No,No,No,No,Yes,Yes,Yes,No,"Â…In an urban area, same as where I live",Make this trip 2-3 days per week,Two,less than 3 KM,9,Definitely more acceptable to pay for less congestion,30-60 min,51-60,0,0.2069787234042553,0.1823809523809524,0.1685082872928177,0.1924233313289236,0.1095890410958904,0.299515106303618,0.132752992383025,0.1845926334556404,0.3344172144813275
2706,2921,"2,930",Greece,Male,"Tertiary and higher (University degree, PhD or similar degrees).",?tt???,office worker,Employed,four,middle,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the centre of the city,Relatively served by public transport,Yes,2,Certainly yes,No,Yes without any influence on my car ownership,No,No,Yes,No,No,No,No,Yes,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,One,6-10 KM,5,Probably more acceptable to pay for less congestion,15-30 min,41-50,2,0.2290959252971137,0.2103583345422892,0.1989212513484358,0.1833333333333333,0.3650434126085315,0.1648418491484184,0.2830957230142566,0.2335271184703398,0.6472136544855702
2715,2931,"2,940",Belgium,Male,Lower secondary (upper elementary school or similar);,Prov. Oost-Vlaanderen,other employed worker,Employed,three,low,Small or medium town (less than 250.000 inhabitants),in the suburbs,Relatively served by public transport,Yes,1,Certainly not,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",No,No,Yes,Yes,No,No,No,No,No,Â…It is outside an urban area,Make this trip 2-3 days per week,Don't know/ No answer,21-30 KM,0,Probably more acceptable to limit road traffic,15-30 min,41-50,1,0.178237650200267,0.1823809523809524,0.1921047488762947,0.1833333333333333,0.1095890410958904,0.1283354510800508,0.132752992383025,0.1581048813356876,0.1651035992599303
2717,2933,"2,942",Bulgaria,Female,Upper secondary (high school or similar);,Severoiztochen,other employed worker,Employed,five,middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Relatively served by public transport,No,4,Don't know/no answer,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,No,No,Yes,No,No,No,Yes,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,One,3-5 KM,5,Probably more acceptable to pay for less congestion,15-30 min,41-50,1,0.2069787234042553,0.2103583345422892,0.1921047488762947,0.1833333333333333,0.0925449871465295,0.1648418491484184,0.3599585062240664,0.2014457832393124,0.442145031655808
2720,2936,"2,945",Finland,Male,"Tertiary and higher (University degree, PhD or similar degrees).",Helsinki-Uusimaa,office worker,Employed,two,lower middle,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the suburbs,Well served by public transport,Yes,0,Maybe yes maybe not,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,No,No,No,No,Yes,No,Yes,No,"Â…In an urban area, different from where I live",Make this trip every day/ every working day of the week,One,11-20 KM,6,Probably more acceptable to limit road traffic,30-60 min,31-40,1,0.2290959252971137,0.1964838027022627,0.1989212513484358,0.2217081850533807,0.2027115108851518,0.1392904073587385,0.1876355748373102,0.1965495224974847,0.4108474114005591
2721,2937,"2,946",Poland,Male,Upper secondary (high school or similar);,Slaskie,retired,Not Employed,three,lower middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Well served by public transport,Yes,3,Maybe yes maybe not,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,No,Yes,No,No,No,No,Yes,No,"Â…In an urban area, same as where I live",Make this trip 2-3 days per week,Two,6-10 KM,7,No preferences,15-30 min,51-60,1,0.2069787234042553,0.1964838027022627,0.1685082872928177,0.1924233313289236,0.2027115108851518,0.1982758620689655,0.3314855875831485,0.213838157895075,0.521358916799525
2725,2941,"2,950",Greece,Female,Upper secondary (high school or similar);,?tt???,housewife,Not Employed,five,middle,Large city (from 250.000 to 1.000.000 inhabitants),in the centre of the city,Well served by public transport,Yes,3,Maybe yes maybe not,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",No,No,No,Yes,No,Yes,No,No,Yes,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Two,6-10 KM,7,Probably more acceptable to pay for less congestion,30-60 min,21-30,1,0.2069787234042553,0.2103583345422892,0.1844135802469135,0.2346829640947288,0.2027115108851518,0.1982758620689655,0.2830957230142566,0.2172166711795087,0.5429548716268915
2729,2945,"2,954",Greece,Male,Upper secondary (high school or similar);,?tt???,unemployed,Not Employed,three,middle,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the centre of the city,Well served by public transport,Yes,1,Maybe yes maybe not,No,"No, I would not be interested in this service",Yes,No,No,No,No,No,No,Yes,No,"Â…In an urban area, different from where I live",Make this trip every day/ every working day of the week,One,less than 3 KM,3,Definitely more acceptable to limit road traffic,less than 15 min,21-30,0,0.2069787234042553,0.2103583345422892,0.2050105857445307,0.2346829640947288,0.2027115108851518,0.1602300739523418,0.2830957230142566,0.214723987948222,0.5270212730497219
2735,2951,"2,960",Greece,Male,"Tertiary and higher (University degree, PhD or similar degrees).",Tessa??a,business owner/entrepreneur,Employed,three,middle,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Not served by public transport,Yes,2,Certainly yes,No,"No, I would not be interested in this service",Yes,Yes,Yes,Yes,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,One,less than 3 KM,9,Definitely more acceptable to limit road traffic,less than 15 min,21-30,0,0.2290959252971137,0.2103583345422892,0.2460474308300395,0.2346829640947288,0.3650434126085315,0.299515106303618,0.2830957230142566,0.2668341280986539,0.8601169686983208
2736,2952,"2,961",Greece,Female,Upper secondary (high school or similar);,??t?? ???a??,office worker,Employed,three,middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Relatively served by public transport,Yes,2,Don't know/no answer,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,No,Yes,No,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Don't know/ No answer,6-10 KM,8,Probably more acceptable to limit road traffic,15-30 min,21-30,1,0.2069787234042553,0.2103583345422892,0.1989212513484358,0.2346829640947288,0.0925449871465295,0.2356572258533043,0.2830957230142566,0.2088913156291142,0.4897379719874921
2739,2955,"2,964",Croatia,Male,Upper secondary (high school or similar);,Splitsko-dalmatinska zupanija,student,Not Employed,four,higher middle,Large city (from 250.000 to 1.000.000 inhabitants),in the centre of the city,Well served by public transport,Yes,2,Maybe yes maybe not,No,Yes without any influence on my car ownership,Yes,No,Yes,Yes,No,No,No,Yes,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,More than three,6-10 KM,9,Probably more acceptable to pay for less congestion,15-30 min,21-30,2,0.2069787234042553,0.2489236790606653,0.2434696895022178,0.2346829640947288,0.2027115108851518,0.299515106303618,0.2760416666666667,0.2446176199881863,0.7181057746662964
2744,2960,"2,969",Greece,Female,Upper secondary (high school or similar);,?tt???,retired,Not Employed,three,middle,Large city (from 250.000 to 1.000.000 inhabitants),in the suburbs,Well served by public transport,No,2,Maybe yes maybe not,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,No,No,No,No,Yes,No,Yes,No,"Â…In an urban area, same as where I live",Make this trip 2-3 days per week,One,3-5 KM,4,Probably more acceptable to limit road traffic,15-30 min,51-60,1,0.2069787234042553,0.2103583345422892,0.1685082872928177,0.1924233313289236,0.2027115108851518,0.1632140615191462,0.2830957230142566,0.2038985674266915,0.4578235896641411
2752,2968,"2,977",Greece,Male,"Tertiary and higher (University degree, PhD or similar degrees).",Ste?ea ???ada,student,Not Employed,one  (myself),middle,Large city (from 250.000 to 1.000.000 inhabitants),in the suburbs,Relatively served by public transport,Yes,1,Certainly yes,Yes,Yes without any influence on my car ownership,Yes,No,Yes,No,Yes,No,No,Yes,No,"Â…In an urban area, different from where I live",Make this trip every day/ every working day of the week,Two,more than 50 KM,3,Probably more acceptable to pay for less congestion,60-90 min,21-30,2,0.2290959252971137,0.2103583345422892,0.2434696895022178,0.2346829640947288,0.3650434126085315,0.1602300739523418,0.2830957230142566,0.2465680175730685,0.7305730034715199
2770,2988,"2,997",Greece,Female,"Tertiary and higher (University degree, PhD or similar degrees).",?tt???,student,Not Employed,five,low,Small or medium town (less than 250.000 inhabitants),in the suburbs,Difficult to reach with public transport,No,2,Probably yes,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,No,No,No,Yes,Yes,No,Yes,No,"Â…In an urban area, different from where I live",Make this trip 2-3 days per week,Three,more than 50 KM,9,Probably more acceptable to pay for less congestion,90-120 min,21-30,1,0.2290959252971137,0.1823809523809524,0.2434696895022178,0.2346829640947288,0.2870708546384222,0.299515106303618,0.2830957230142566,0.2513301736044728,0.7610134066538674
2773,2991,"3,000",Spain,Male,Upper secondary (high school or similar);,CataluÃ±a,other employed worker,Employed,two,lower middle,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the suburbs,Relatively served by public transport,No,1,Probably yes,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",No,No,No,No,No,Yes,No,Yes,No,"Â…In an urban area, different from where I live",Make this trip every day/ every working day of the week,Two,6-10 KM,8,Definitely more acceptable to limit road traffic,30-60 min,31-40,1,0.2069787234042553,0.1964838027022627,0.1921047488762947,0.2217081850533807,0.2870708546384222,0.2356572258533043,0.2458158995815899,0.2265456343013585,0.6025869787711466
2774,2992,"3,001",Slovenia,Male,Upper secondary (high school or similar);,Savinjska,student,Not Employed,four,lower middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Relatively served by public transport,Yes,3,Maybe yes maybe not,Yes,Yes without any influence on my car ownership,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Â…It is outside an urban area,Make this trip 2-3 days per week,One,21-30 KM,8,Probably more acceptable to pay for less congestion,30-60 min,less than 20,2,0.2069787234042553,0.1964838027022627,0.2434696895022178,0.2561094819159335,0.2027115108851518,0.2356572258533043,0.2700729927007299,0.2302119181376936,0.6260224053768668
2779,2997,"3,006",Portugal,Male,"Tertiary and higher (University degree, PhD or similar degrees).",Lisboa,other self-employed worker,Employed,three,middle,Large city (from 250.000 to 1.000.000 inhabitants),in the suburbs,Well served by public transport,Yes,2,Probably yes,Yes,Yes without any influence on my car ownership,No,No,Yes,No,No,Yes,No,No,No,"Â…In an urban area, different from where I live",Make this trip every day/ every working day of the week,Two,21-30 KM,4,Probably more acceptable to limit road traffic,60-90 min,41-50,2,0.2290959252971137,0.2103583345422892,0.2632293080054274,0.1833333333333333,0.2870708546384222,0.1632140615191462,0.2780040733197556,0.2306151272364982,0.6285997773599481
2782,3000,"3,009",Slovakia,Female,Upper secondary (high school or similar);,KosickÃ½ kraj,other employed worker,Employed,four,middle,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Not served by public transport,No,1,Maybe yes maybe not,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,Yes,No,Yes,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Don't know/ No answer,less than 3 KM,8,No preferences,less than 15 min,21-30,1,0.2069787234042553,0.2103583345422892,0.1921047488762947,0.2346829640947288,0.2027115108851518,0.2356572258533043,0.2243303571428571,0.2152605521141259,0.5304510702750971
2787,3005,"3,014",Slovenia,Male,"Tertiary and higher (University degree, PhD or similar degrees).",Osrednjeslovenska,office worker,Employed,four,high,Large city (from 250.000 to 1.000.000 inhabitants),in the centre of the city,Relatively served by public transport,Yes,4,Certainly not,No,"No, I would not be interested in this service",No,Yes,No,Yes,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Two,3-5 KM,10,Probably more acceptable to pay for less congestion,15-30 min,21-30,0,0.2290959252971137,0.3636363636363636,0.1989212513484358,0.2346829640947288,0.1095890410958904,0.3167848699763593,0.2700729927007299,0.2461119154499459,0.7276575314818126
2790,3008,"3,017",Spain,Female,"Tertiary and higher (University degree, PhD or similar degrees).",AndalucÃ­a,teacher/lecturer,Employed,four,middle,Large city (from 250.000 to 1.000.000 inhabitants),in the suburbs,Difficult to reach with public transport,Yes,2,Maybe yes maybe not,Yes,Yes without any influence on my car ownership,Yes,No,Yes,Yes,No,No,No,Yes,No,"Â…In an urban area, different from where I live",Make this trip every day/ every working day of the week,Two,11-20 KM,8,Probably more acceptable to pay for less congestion,30-60 min,21-30,2,0.2290959252971137,0.2103583345422892,0.1986692015209125,0.2346829640947288,0.2027115108851518,0.2356572258533043,0.2458158995815899,0.2224272945392986,0.576261944065799
2791,3009,"3,018",Slovenia,Male,Upper secondary (high school or similar);,Osrednjeslovenska,other employed worker,Employed,two,middle,Large city (from 250.000 to 1.000.000 inhabitants),in the suburbs,Well served by public transport,Yes,2,Probably not,Yes,Yes and I would give up one car I currently own,No,Yes,Yes,No,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,One,3-5 KM,8,No preferences,less than 15 min,31-40,2,0.2069787234042553,0.2103583345422892,0.1921047488762947,0.2217081850533807,0.1444071809035312,0.2356572258533043,0.2700729927007299,0.211612484476255,0.5071320842945986
2797,3015,"3,024",Slovenia,Female,Upper secondary (high school or similar);,Spodnjeposavska,unemployed,Not Employed,four,low,Small or medium town (less than 250.000 inhabitants),in the suburbs,Relatively served by public transport,Yes,2,Don't know/no answer,Yes,"No, I would not be interested in this service",No,Yes,Yes,Yes,Yes,No,Yes,No,No,"Â…In an urban area, different from where I live",Make this trip once per week or less,Two,more than 50 KM,9,Probably more acceptable to pay for less congestion,60-90 min,31-40,0,0.2069787234042553,0.1823809523809524,0.2050105857445307,0.2217081850533807,0.0925449871465295,0.299515106303618,0.2700729927007299,0.2111730761048566,0.5043233212261777
2801,3019,"3,028",Hungary,Female,Lower secondary (upper elementary school or similar);,KÃ¶zÃ©p-MagyarorszÃ¡g,retired,Not Employed,three,middle,Large city (from 250.000 to 1.000.000 inhabitants),in the centre of the city,Well served by public transport,No,0,Probably yes,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,No,No,No,No,No,No,Yes,No,"Â…In an urban area, same as where I live",Make this trip 2-3 days per week,One,less than 3 KM,8,Definitely more acceptable to limit road traffic,more than 120 min,51-60,1,0.178237650200267,0.2103583345422892,0.1685082872928177,0.1924233313289236,0.2870708546384222,0.2356572258533043,0.191578947368421,0.2091192330320636,0.4911948536168005
2807,3025,"3,034",Slovenia,Female,"Tertiary and higher (University degree, PhD or similar degrees).",Osrednjeslovenska,other self-employed worker,Employed,two,lower middle,Large city (from 250.000 to 1.000.000 inhabitants),in the centre of the city,Relatively served by public transport,Yes,1,Probably not,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,No,Yes,No,No,No,No,No,No,"Â…In an urban area, different from where I live",Make this trip every day/ every working day of the week,Don't know/ No answer,3-5 KM,7,Definitely more acceptable to limit road traffic,15-30 min,31-40,1,0.2290959252971137,0.1964838027022627,0.2632293080054274,0.2217081850533807,0.1444071809035312,0.1982758620689655,0.2700729927007299,0.2176104652473444,0.5454720613444664
2812,3030,"3,039",Greece,Male,"Tertiary and higher (University degree, PhD or similar degrees).",???e?a ???ada,office worker,Employed,four,middle,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Well served by public transport,Yes,2,Maybe yes maybe not,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,No,Yes,No,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Two,less than 3 KM,4,Definitely more acceptable to limit road traffic,less than 15 min,21-30,1,0.2290959252971137,0.2103583345422892,0.1989212513484358,0.2346829640947288,0.2027115108851518,0.1632140615191462,0.2830957230142566,0.2174399672430174,0.5443822129734186
2815,3033,"3,042",Slovenia,Male,"Tertiary and higher (University degree, PhD or similar degrees).",Pomurska,student,Not Employed,four,lower middle,Small or medium town (less than 250.000 inhabitants),in the centre of the city,Well served by public transport,Yes,2,Probably yes,Yes,Yes without any influence on my car ownership,Yes,No,Yes,No,No,No,No,Yes,No,Â…It is outside an urban area,Make this trip 2-3 days per week,One,6-10 KM,3,Probably more acceptable to limit road traffic,15-30 min,21-30,2,0.2290959252971137,0.1964838027022627,0.2434696895022178,0.2346829640947288,0.2870708546384222,0.1602300739523418,0.2700729927007299,0.2315866146982596,0.6348096683898923
2820,3038,"3,047",Slovenia,Female,"Tertiary and higher (University degree, PhD or similar degrees).",Podravska,office worker,Employed,four,middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Relatively served by public transport,Yes,2,Maybe yes maybe not,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",No,No,Yes,No,No,No,No,Yes,No,"Â…In an urban area, different from where I live",Make this trip every day/ every working day of the week,One,11-20 KM,7,Probably more acceptable to limit road traffic,30-60 min,41-50,1,0.2290959252971137,0.2103583345422892,0.1989212513484358,0.1833333333333333,0.2027115108851518,0.1982758620689655,0.2700729927007299,0.2132527443108599,0.5176168668930508
2821,3039,"3,048",Netherlands,Male,Upper secondary (high school or similar);,Zuid-Holland,middle manager,Employed,one  (myself),low,Large city (from 250.000 to 1.000.000 inhabitants),in the centre of the city,Well served by public transport,Yes,1,Maybe yes maybe not,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,Yes,Yes,No,No,No,No,No,No,"Â…In an urban area, different from where I live",Make this trip 2-3 days per week,One,6-10 KM,8,No preferences,15-30 min,51-60,1,0.2069787234042553,0.1823809523809524,0.2343283582089552,0.1924233313289236,0.2027115108851518,0.2356572258533043,0.1088139281828074,0.1947562900349071,0.3993848052195432
2822,3040,"3,049",Poland,Female,Upper secondary (high school or similar);,Slaskie,housewife,Not Employed,two,middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Well served by public transport,Yes,2,Maybe yes maybe not,Yes,"Maybe yes, maybe not. I would need to test the service before taking a decision",No,No,Yes,Yes,No,No,No,No,No,Â…It is outside an urban area,Make this trip 2-3 days per week,One,more than 50 KM,7,Probably more acceptable to pay for less congestion,30-60 min,51-60,1,0.2069787234042553,0.2103583345422892,0.1844135802469135,0.1924233313289236,0.2027115108851518,0.1982758620689655,0.3314855875831485,0.2180924185799497,0.5485527780750461
2824,3042,"3,051",Greece,Female,Upper secondary (high school or similar);,?tt???,student,Not Employed,three,low,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the suburbs,Relatively served by public transport,Yes,1,Probably yes,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,No,No,No,No,No,No,Yes,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Two,6-10 KM,7,Definitely more acceptable to limit road traffic,30-60 min,21-30,1,0.2069787234042553,0.1823809523809524,0.2434696895022178,0.2346829640947288,0.2870708546384222,0.1982758620689655,0.2830957230142566,0.2337078241576855,0.648368751870845
2830,3049,"3,058",Greece,Male,"Tertiary and higher (University degree, PhD or similar degrees).",?tt???,unemployed,Not Employed,four,middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Difficult to reach with public transport,Yes,5,Maybe yes maybe not,No,"Maybe yes, maybe not. I would need to test the service before taking a decision",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,"Â…In an urban area, same as where I live",Make this trip 2-3 days per week,Two,21-30 KM,10,Probably more acceptable to limit road traffic,more than 120 min,21-30,1,0.2290959252971137,0.2103583345422892,0.2050105857445307,0.2346829640947288,0.2027115108851518,0.3167848699763593,0.2830957230142566,0.2402485590792043,0.6901780934394328
2835,3054,"3,063",Sweden,Male,Upper secondary (high school or similar);,VÃ¤stsverige,manual worker/agricultural worker/farmer,Employed,one  (myself),middle,Small or medium town (less than 250.000 inhabitants),in the suburbs,Relatively served by public transport,Yes,1,Certainly not,Yes,"No, I would not be interested in this service",No,Yes,Yes,No,No,No,No,No,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,Don't know/ No answer,21-30 KM,5,No preferences,15-30 min,51-60,0,0.2069787234042553,0.2103583345422892,0.2166193181818181,0.1924233313289236,0.1095890410958904,0.1648418491484184,0.1263736263736263,0.1753120320107459,0.2750942423035434
2840,3060,"3,069",Great Britain,Male,Upper secondary (high school or similar);,Outer London,office worker,Employed,one  (myself),low,Metropolitan area of a big city with more than 1.000.000  inhabitants,in the suburbs,Well served by public transport,No,0,Certainly not,Yes,"No, I would not be interested in this service",Yes,No,No,No,No,No,No,Yes,No,"Â…In an urban area, same as where I live",Make this trip every day/ every working day of the week,One,less than 3 KM,6,No preferences,15-30 min,41-50,0,0.2069787234042553,0.1823809523809524,0.1989212513484358,0.1833333333333333,0.1095890410958904,0.1392904073587385,0.1321776814734561,0.1646673414850088,0.2070518116864177
